rank_director;director;box_office_director;movies_director;average_director
292;Larry Charles;595,092,528;6;99,182,088
293;Han Han;594,327,550;4;148,581,888
294;Stephen Frears;591,802,763;22;26,900,126
295;Duncan Jones;590,004,396;5;118,000,879
296;Catherine Hardwicke;586,756,151;9;65,195,128
297;Gavin Hood;585,824,539;7;83,689,220
298;Spike Lee;585,306,732;30;19,510,224
299;Nathan Greno;584,899,819;1;584,899,819
300;Damien Chazelle;584,348,371;5;116,869,674
301;Herbert Ross;583,033,930;18;32,390,774
302;Karey Kirkpatrick;579,517,464;3;193,172,488
303;John Lee Hancock;579,209,611;8;72,401,201
304;Sam Taylor-Johnson;578,661,150;4;144,665,288
305;Mick Jackson;576,775,742;7;82,396,535
306;Chad Stahelski;575,106,156;7;82,158,022
307;David Gordon Green;574,462,452;16;35,903,903
308;Norman Jewison;573,947,588;22;26,088,527
309;Kirk De Micco;573,068,425;1;573,068,425
310;Jeff Tremaine;571,962,917;11;51,996,629
311;Rupert Sanders;568,932,436;5;113,786,487
312;Randal Kleiser;568,872,812;10;56,887,281
313;Jordan Vogt-Roberts;562,434,668;3;187,478,223
314;Neil Burger;561,529,454;4;140,382,364
315;Jim Abrahams;560,178,008;8;70,022,251
316;Harald Zwart;556,019,223;5;111,203,845
317;Mark Andrews;554,763,947;2;277,381,974
318;Robert Wise;554,159,621;16;34,634,976
319;Peter Hyams;552,814,089;17;32,518,476
320;Nick Cassavetes;550,045,646;11;50,004,150
321;Morten Tyldum;549,756,997;3;183,252,332
322;Wes Anderson;544,598,506;12;45,383,209
323;Makoto Shinkai;544,395,664;7;77,770,809
324;Travis Knight;542,743,711;3;180,914,570
325;Peter Sohn;538,933,703;3;179,644,568
326;Adam Wingard;538,026,731;10;53,802,673
327;Guy Hamilton;537,457,339;10;53,745,734
328;Emile Ardolino;537,282,767;6;89,547,128
329;Richard Marquand;537,277,436;4;134,319,359
330;Ethan Coen;537,119,703;7;76,731,386
331;Anthony Minghella;533,617,311;7;76,231,044
332;Gabriele Muccino;533,345,324;10;53,334,532
333;Phil Johnston;529,290,830;1;529,290,830
334;Kent Seki;527,965,936;1;527,965,936
335;Wilson Yip;526,411,878;6;87,735,313
336;Tarsem Singh;525,526,331;5;105,105,266
337;Roger Michell;521,924,911;10;52,192,491
338;P.J. Hogan;521,780,875;6;86,963,479
339;Alessandro Carloni;521,170,825;1;521,170,825
340;Rupert Wyatt;519,067,441;5;103,813,488
341;Olivier Nakache;515,067,980;3;171,689,327
342;Eric Toledano;515,067,980;3;171,689,327
343;Amy Heckerling;514,226,108;9;57,136,234
344;Kevin Costner;513,663,920;3;171,221,307
345;Martin Brest;513,585,218;5;102,717,044
346;Yarrow Cheney;513,537,178;1;513,537,178
347;Scott Mosier;513,537,178;1;513,537,178
348;Baltasar Kormakur;510,179,012;9;56,686,557
349;Destin Daniel Cretton;507,034,378;5;101,406,876
