url_id;title;certificate;year;duration;rating;votes;metascore;total_nominations;total_wins;oscar_nominations;oscar_wins;budget;gross_us_canada;opening_weekend_gross_us_canada;worldwide_gross;aspect_ratio;color
tt3040964;The Jungle Book;PG;2016;6360;7.4;275249;77;55;33;0;1;175000000;364001123;103261464;966554929;1.85 : 1;Color
tt1431045;Deadpool;R;2016;6480;8;1011353;65;78;28;;;58000000;363070709;132434639;782836791;2.39 : 1;Color
tt2096673;Inside Out;PG;2015;5700;8.2;697910;94;117;101;1;1;175000000;356921711;90440272;858848019;1.78 : 1;Color
tt6139732;Aladdin;PG;2019;7680;6.9;260943;53;39;9;;;183000000;355559216;91500929;1050693953;2.39 : 1;Color
tt6139732;Aladdin;PG;2019;7680;6.9;260943;53;39;9;;;183000000;355559216;91500929;1050693953;2.39 : 1;Color
tt2820852;Furious 7;PG-13;2015;8220;7.1;386714;67;36;36;;;190000000;353007020;147187040;1515341399;2.39 : 1;Color
tt2820852;Furious 7;PG-13;2015;8220;7.1;386714;67;36;36;;;190000000;353007020;147187040;1515341399;2.39 : 1;Color
tt2820852;Furious 7;PG-13;2015;8220;7.1;386714;67;36;36;;;190000000;353007020;147187040;1515341399;2.39 : 1;Color
tt2820852;Furious 7;PG-13;2015;8220;7.1;386714;67;36;36;;;190000000;353007020;147187040;1515341399;2.39 : 1;Color
tt2820852;Furious 7;PG-13;2015;8220;7.1;386714;67;36;36;;;190000000;353007020;147187040;1515341399;2.39 : 1;Color
tt1399103;Transformers: Dark of the Moon;PG-13;2011;9240;6.2;405546;42;42;11;3;0;195000000;352390543;97852865;1123794079;2.39 : 1;Color
tt2179136;American Sniper;R;2014;7980;7.3;480114;72;43;24;5;1;58800000;350159020;633456;547459020;2.39 : 1;Color
tt0167261;The Lord of the Rings: The Two Towers;PG-13;2002;10740;8.8;1622839;87;138;126;4;2;94000000;342952511;62007528;947896241;2.39 : 1;Color
tt0167261;The Lord of the Rings: The Two Towers;PG-13;2002;10740;8.8;1622839;87;138;126;4;2;94000000;342952511;62007528;947896241;2.39 : 1;Color
tt2948356;Zootopia;PG;2016;6480;8;488759;78;72;47;0;1;150000000;341268248;75063401;1024121104;2.39 : 1;Color
tt1951265;The Hunger Games: Mockingjay - Part 1;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.35 : 1;Color
tt1951265;The Hunger Games: Mockingjay - Part 1;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.39 : 1;Color
tt1951265;The Hunger Games: Mockingjay - Part 1;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.35 : 1;Color
tt1951265;The Hunger Games: Mockingjay - Part 1;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.39 : 1;Color
tt1951265;The Hunger Games: Mockingjay - Part 1;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.35 : 1;Color
tt1951265;The Hunger Games: Mockingjay - Part 1;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.39 : 1;Color
tt0413300;Spider-Man 3;PG-13;2007;8340;6.2;580773;59;44;4;1;0;258000000;336530303;151116516;894983373;2.39 : 1;Color
tt2293640;Minions;PG;2015;5460;6.4;235014;56;29;4;1;0;74000000;336045770;115718405;1159444662;1.85 : 1;Color
tt2293640;Minions;PG;2015;5460;6.4;235014;56;29;4;1;0;74000000;336045770;115718405;1159444662;1.85 : 1;Color
tt7286456;Joker;R;2019;7320;8.4;1221736;59;239;122;9;2;55000000;335477657;96202337;1074445730;1.85 : 1;Color
