duration	nudity	violence	profanity	alcohol	frightening	budget	worldwide_gross	is_Action	is_Adult	is_Adventure	is_Animation	is_Biography	is_Comedy	is_Crime	is_Drama	is_Family	is_Fantasy	is_Film-Noir	is_Horror	is_History	is_Music	is_Mystery	is_Romance	is_Sci-Fi	is_Sport	is_Thriller	is_War	is_Western	total_star_score
132	Mild	Moderate	Moderate	Mild	Moderate	200000000	746045700	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	566
143	None	Moderate	Mild	None	Moderate	90000000	429632142	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3029
122	Moderate	Moderate	Severe	Mild	Severe	11000000	441306145	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3399
115	None	Moderate	Mild	None	Moderate	165000000	677796076	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	552
129	None	Moderate	Mild	Mild	Severe	73000000	618638999	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1628
120	None	Moderate	Mild	Mild	Mild	300000000	657926987	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1570
132	Mild	Moderate	Mild	Mild	Moderate	190000000	467365246	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1473
144	Mild	Mild	Moderate	Mild	Mild	108000000	630620818	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1661
106	None	Moderate	Mild	Mild	Moderate	72000000	408247917	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2910
92	Mild	Moderate	Moderate	Moderate	Moderate	150000000	629443428	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1606
115	None	Moderate	Mild	Mild	Moderate	110000000	444100035	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3058
137	Mild	Severe	Severe	Moderate	Severe	97000000	619179950	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2291
90	Mild	Moderate	Moderate	Mild	Moderate	90000000	347325802	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3264
